,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
0,1,0.0125,11,1,3.141592653589793,1.0,1,1,8,1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,False,0,0,1,1,1,0.0,0.0,-1,0.0,0.0,9.999999747378752e-05,0.0,0.0,0.0
1,2,0.0125,11,1,tensor(18.3105),9.0,3,3,16,16,-1,-1,1,1,1,1,1,1,1,2,0.0,2.0,False,1,1,1,2,2,0.0,0.0,-1,1.0,1.5,0.5001000165939331,0.0,-1.9860273225978183e-16,0.9999999999999999
2,3,0.0125,11,1,tensor(46.0459),25.0,5,5,24,94,-1,-1,2,2,3,1,3,1,2,3,0.0,4.828427076339722,False,2,1,2,3,6,0.5,0.0,0.0,2.5,2.0,1.1181340217590332,0.0,0.2924812503605784,1.9749375012019277
3,4,0.0125,11,1,tensor(86.3475),49.0,7,7,32,295,-1,-1,3,3,5,3,4,2,3,4,0.0,7.656854152679443,False,3,2,3,3,9,2.0,0.0,0.0,3.8333332538604736,3.1666667461395264,1.178611397743225,0.0,0.5000000000000006,2.52832083357372
4,5,0.0125,11,1,tensor(86.3475),49.0,7,7,32,321,-1,-1,2,2,5,3,2,2,3,4,0.0,10.485281229019165,False,2,2,4,3,12,3.5,0.0,0.0,3.5,2.5,1.581238865852356,0.0,0.3684827970831032,2.5675832929427638
5,6,0.0125,11,1,tensor(86.3475),49.0,7,7,32,508,-1,-1,2,2,5,3,2,2,3,4,0.0,12.485281229019165,False,2,2,4,3,12,4.5,0.0,0.0,3.5,3.0,1.8028756380081177,0.0,0.5000000000000006,3.0566416671474386
6,7,0.0125,11,1,tensor(86.3475),49.0,7,7,32,1193,-1,-1,2,2,5,1,5,1,3,4,0.0,15.313708305358887,False,2,1,4,4,16,6.5,0.0,0.0,3.8333332538604736,2.5,1.9003924131393433,0.0,0.6111962106682247,3.4604742605584895
7,8,0.0125,11,1,tensor(86.3475),49.0,7,7,32,305,-1,-1,1,3,5,1,5,1,3,4,0.0,18.14213538169861,False,1,1,5,4,20,8.0,0.0,0.0,3.25,2.5,2.304986000061035,0.0,0.5000000000000009,3.5283208335737197
8,9,0.0125,11,1,tensor(86.3475),49.0,7,7,32,342,4,2,1,3,5,1,5,1,3,4,1.0,17.313708305358887,False,1,1,5,4,20,8.0,0.05,0.125,3.25,2.5,2.304986000061035,0.5641895835477563,0.5849625007211567,3.754887502163469
9,10,0.0125,11,1,tensor(139.2156),81.0,9,9,40,94,5,3,2,4,7,5,6,2,4,5,1.5,18.727921843528748,False,2,2,6,4,24,9.5,0.0625,0.15789473684210525,4.5714287757873535,4.142857074737549,2.575493574142456,0.690988298942671,0.47731392067196915,3.725605555916163
10,11,0.0125,11,1,tensor(139.2156),81.0,9,9,40,401,5,3,2,4,7,5,5,1,4,5,1.5,21.55634891986847,False,2,1,6,5,30,11.5,0.05,0.13043478260869565,4.666666507720947,3.6666667461395264,2.6875193119049072,0.690988298942671,0.48637216830821334,3.8631090796660974
11,12,0.0125,11,1,tensor(139.2156),81.0,9,9,40,609,5,3,2,4,7,5,5,1,3,6,1.5,24.38477599620819,False,2,1,6,6,36,14.5,0.041666666666666664,0.10344827586206896,4.55555534362793,3.722222328186035,2.7583649158477783,0.690988298942671,0.49772799234999165,3.988639961749957
12,13,0.0125,11,1,tensor(139.2156),81.0,9,9,40,31,6,3,2,4,7,5,5,1,3,6,2.5,25.213203072547913,False,2,1,6,6,36,15.5,0.06944444444444445,0.16129032258064516,4.55555534362793,3.722222328186035,2.7583649158477783,0.8920620580763856,0.5516356653702121,4.200439718141091
13,14,0.0125,11,1,tensor(204.6501),121.0,11,11,40,72,7,4,3,5,8,6,6,1,4,7,2.5,27.213203072547913,False,3,1,6,7,42,18.0,0.05952380952380952,0.1388888888888889,5.409090995788574,4.136363506317139,3.191643476486206,0.8920620580763856,0.5041242982231883,4.231353375335077
14,15,0.0125,11,1,tensor(204.6501),121.0,11,11,40,765,7,4,3,5,9,3,6,1,4,7,2.5,30.041630148887634,False,3,1,7,7,49,21.5,0.05102040816326531,0.11627906976744186,5.954545497894287,4.318181991577148,3.3185930252075195,0.8920620580763856,0.5491853096329674,4.406890595608516
15,16,0.0125,11,1,tensor(204.6501),121.0,11,11,40,615,7,4,3,5,9,3,6,1,5,8,2.5,32.870057225227356,False,3,1,7,8,56,24.0,0.044642857142857144,0.10416666666666667,5.804347991943359,4.543478488922119,3.5489754676818848,0.8920620580763856,0.5908684833254055,4.5687517618749665
16,17,0.0125,11,1,tensor(204.6501),121.0,11,11,40,679,6,3,3,5,9,3,6,1,5,8,6.5,30.041630148887634,False,3,1,7,8,56,24.0,0.11607142857142858,0.2708333333333333,5.804347991943359,4.543478488922119,3.5489754676818848,1.438406847937898,0.6296604239088931,4.7189800441672345
17,18,0.0125,11,1,tensor(204.6501),121.0,11,11,40,779,6,3,3,5,9,6,6,1,5,8,6.5,32.041630148887634,False,3,1,7,8,56,26.5,0.11607142857142858,0.24528301886792453,5.804347991943359,4.543478488922119,3.5489754676818848,1.438406847937898,0.6543990719664853,4.8014422043592075
18,19,0.0125,11,1,tensor(204.6501),121.0,11,11,40,239,6,3,3,5,9,6,6,1,5,8,7.0,33.455843687057495,False,3,1,7,8,56,27.5,0.125,0.2545454545454545,6.0,4.5,3.6401548385620117,1.4927053303604616,0.6777998255668672,4.8794447163604815
19,20,0.0125,11,1,tensor(204.6501),121.0,11,11,40,623,6,3,3,5,10,4,6,1,5,8,7.0,36.28427076339722,False,3,1,8,8,64,29.0,0.109375,0.2413793103448276,6.388888835906982,4.611111164093018,3.662555456161499,1.4927053303604616,0.610398157858211,4.87966670359733
