,00_parameters/log_dir,00_parameters/N,00_parameters/k,00_parameters/max_ls,00_parameters/pad_size,01_bounding_box_data/bounding_circle,01_bounding_box_data/bounding_square,01_bounding_box_data/bounding_square_height,01_bounding_box_data/bounding_square_width,02_simulation_data/num_diff_locus_points,02_simulation_data/num_brownian_motion_steps,03_cv_data/cv_centroid_x,03_cv_data/cv_centroid_y,03_cv_data/cv_leftmost_x,03_cv_data/cv_leftmost_y,03_cv_data/cv_rightmost_x,03_cv_data/cv_rightmost_y,03_cv_data/cv_topmost_x,03_cv_data/cv_topmost_y,03_cv_data/cv_bottommost_x,03_cv_data/cv_bottommost_y,03_cv_data/cv_contour_area,03_cv_data/cv_contour_perimeter,03_cv_data/cv_contour_k,03_cv_data/cv_boundingRect_x,03_cv_data/cv_boundingRect_y,03_cv_data/cv_boundingRect_w,03_cv_data/cv_boundingRect_h,03_cv_data/cv_boundingRect_area,03_cv_data/cv_hull_area,03_cv_data/cv_extent,03_cv_data/cv_solidity,03_cv_data/cv_minEnclosingCircle_center_x,03_cv_data/cv_minEnclosingCircle_center_y,03_cv_data/cv_minEnclosingCircle_r,03_cv_data/cv_equi_radius,04_fractal_dimension/polyfit_coeff0,04_fractal_dimension/polyfit_coeff1
0,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_03_04_GMADDA_k1.0_ls51_pad1,1,1.0,51,1,3.141592653589793,1.0,1,1,8,1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,False,0,0,1,1,1,0.0,0.0,-1,0.0,0.0,9.999999747378752e-05,0.0,-1.0,-1.0
1,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_03_04_GMADDA_k1.0_ls51_pad1,2,1.0,51,1,18.310543469948435,9.0,3,3,16,0,-1,-1,1,1,2,1,1,1,1,1,0.0,2.0,False,1,1,2,1,2,0.0,0.0,-1,1.5,1.0,0.5001000165939331,0.0,-3.9720546451956367e-16,0.9999999999999993
2,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_03_04_GMADDA_k1.0_ls51_pad1,2,1.0,51,1,18.310543469948435,9.0,3,3,16,0,-1,-1,1,1,2,1,1,1,1,1,0.0,2.0,False,1,1,2,1,2,0.0,0.0,-1,1.5,1.0,0.5001000165939331,0.0,-3.9720546451956367e-16,0.9999999999999993
3,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_03_04_GMADDA_k1.0_ls51_pad1,3,1.0,51,1,46.04586447053771,25.0,5,5,24,3,2,2,2,2,3,2,2,2,2,3,0.5,3.414213538169861,True,2,2,2,2,4,0.5,0.125,1.0,2.5,2.5,0.7072067856788635,0.3989422804014327,0.7924812503605783,2.6416041678685938
4,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_03_04_GMADDA_k1.0_ls51_pad1,3,1.0,51,1,46.04586447053771,25.0,5,5,24,3,2,2,2,2,3,2,2,2,2,3,0.5,3.414213538169861,True,2,2,2,2,4,0.5,0.125,1.0,2.5,2.5,0.7072067856788635,0.3989422804014327,0.7924812503605783,2.6416041678685938
5,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_03_04_GMADDA_k1.0_ls51_pad1,4,1.0,51,1,46.04586447053771,25.0,5,5,24,8,2,2,1,1,3,2,1,1,2,3,0.5,6.2426406145095825,False,1,1,3,3,9,1.5,0.05555555555555555,0.3333333333333333,1.8333333730697632,1.8333333730697632,1.1786112785339355,0.3989422804014327,0.5000000000000003,2.5283208335737197
6,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_03_04_GMADDA_k1.0_ls51_pad1,5,1.0,51,1,86.34755172854614,49.0,7,7,32,1,3,3,2,2,4,3,2,2,2,5,0.5,9.071067690849304,False,2,2,3,4,12,3.0,0.041666666666666664,0.16666666666666666,2.5,3.5,1.581238865852356,0.3989422804014327,0.3684827970831036,2.567583292942765
7,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_03_04_GMADDA_k1.0_ls51_pad1,5,1.0,51,1,86.34755172854614,49.0,7,7,32,1,3,3,2,2,4,3,2,2,2,5,0.5,9.071067690849304,False,2,2,3,4,12,3.0,0.041666666666666664,0.16666666666666666,2.5,3.5,1.581238865852356,0.3989422804014327,0.3684827970831036,2.567583292942765
8,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_03_04_GMADDA_k1.0_ls51_pad1,6,1.0,51,1,86.34755172854614,49.0,7,7,32,15,3,3,2,2,4,3,2,2,2,5,1.0,10.485281229019165,False,2,2,3,4,12,4.0,0.08333333333333333,0.25,3.0,3.5,1.8028756380081177,0.5641895835477563,0.2924812503605784,2.641604167868594
9,/home/sourabh/prj/DLA/runs/part02_stickiness_of_particles/19_05_09_13_03_04_GMADDA_k1.0_ls51_pad1,7,1.0,51,1,86.34755172854614,49.0,7,7,32,14,3,2,2,2,5,2,2,2,2,5,1.5,11.899494767189026,False,2,2,4,4,16,4.5,0.09375,0.3333333333333333,3.5,3.5,2.12142014503479,0.690988298942671,0.40367746102880253,2.938127396317191
